"cutscene.cellien.serval.save.0"		"* ¡E-Esa voz!"
"cutscene.cellien.serval.save.1"		"* ¡Myamyamyamya~!"
"cutscene.cellien.serval.save.2"		"* ¡Uh... No te preocupes!&* ¡Te llevaré algún lugar!"
"cutscene.cellien.serval.save.3"		"* ¡Bien, aquí!"

"cutscene.serval.greet.0"			"* Ow querida, ¡Me alegro&  que estés despierta!"
"cutscene.serval.greet.1"			"* ¡Me hiciste realmente&  preocupar la primera&  vez que te vi!"
"cutscene.serval.greet.2"			"* Verte gravemente herido&  por esa criaturita,&  insensible durante&  horas..."
"cutscene.serval.greet.3"			"* En este punto, espero&  que te sientas&  recuperada, honestamente."
"cutscene.serval.greet.4"			"* ¡Ah, se siente como un&  milagro saber que estás&  bien!"
"cutscene.serval.greet.5"			"* ¡Soy Serval! Y este es&  mi territorio."
"cutscene.serval.greet.6"			"* Si no te importa que&  pregunte, ¿tienes un&  territorio regular?"
"cutscene.serval.greet.7"			"* ¡Es que no he visto&  una \"AMIGA\" como tú,&  eso es todo!"
"cutscene.serval.greet.8"			"* ¿No sabes? Está&  bien. ¿Sabes qué tipo&  de AMIGA eres?"
"cutscene.serval.greet.9"			"* Bueno, Eso es inusual.&* ¿UNA AMIGA que no&  conoce su tipo?"
"cutscene.serval.greet.10"			"* Ow, ¡solo hubo esa&  erupción {color_text `yellow`}SANDSTAR{color_text `white`}!"
"cutscene.serval.greet.11"			"{space_y -2}* ¡Le dirá qué! Existe la&  {color_text `yellow`}BIBLIOTECA JAPARI{color_text `white`} y yo&  puedo guiarte hasta el&  portón."
"cutscene.serval.greet.12"			"* Y... sobre tu nombre,&  también?"
"cutscene.serval.greet.13"			"* ¡Kaban-Chan!{w} Por ahora,&  ¿suena bien?"
"cutscene.serval.greet.14"			"* Le puse el nombre de&  la mochila que llevabas."
"cutscene.serval.greet.15"			"* Eso podría ser una&  pista... ¿de su herencia,&  tal vez?"
"cutscene.serval.greet.16"			"* ¡Vamonos! ¡Esto va a ser&  miawcinante!"

"cutscene.serval.new_friend.0"			"* ¿La miras?"
"cutscene.serval.new_friend.1"			"* ¡Sobre ese lugar&  hay otra AMIGA!&* ¡Llanuras Zebra-chan!"
"cutscene.serval.new_friend.2"			"{space_y -2}* Ella es una de las&  muchas personas cuyo&  territorio se comparte&  aquí."
"cutscene.serval.new_friend.3"			"* Y no conozco a muchos&  aquí que quisieran que&  te lastimaran de nuevo."
"cutscene.serval.new_friend.4"			"* Como es un poco tímida,&  te aconsejo que no la&  asustes."
"cutscene.serval.new_friend.5"			"{space_y -2}* Si es así, ¡dile que&  está bien! ¿Por qué no&  intentar tener una&  conversación?"
"cutscene.serval.new_friend.6"			"* Quiero decir, ¡estoy&  segura de que aflojará&  su timidez hacia ti!"

"cutscene.serval.post_convo.0"			"* ¡Tuviste una&  conversación bastante&  decente allí!"
"cutscene.serval.post_convo.1"			"* ¡No lo sabría, de verdad,&  {color_text `blue`}Lulu-chan{color_text `white`} apareció&  mientras no estabas!"
"cutscene.serval.post_convo.2"			"{space_y -2}* Esperaba que ustedes&  dos pudieran conocerse,&  ¡entonces ella saltó&  rápidamente!"
"cutscene.serval.post_convo.3"			"* Si bien ella todavía&  debería estar presente,&  esto me hace pensar..."
"cutscene.serval.post_convo.4"			"* Pensando en cómo tenía&  que llevarte a la&  Biblioteca Japari."
"cutscene.serval.post_convo.5"			"* Entonces, ¡sí!{w}&* ¡Vamos a saltar cuando&  estés lista!"

"cutscene.serval.mountain.0"			"* Un poco de vista,&  ¿no crees?"
"cutscene.serval.mountain.1"			"{space_y -2}* Escuché que esta montaña&  produce \"SANDSTAR\" en&  masa alrededor de una&  década."
"cutscene.serval.mountain.2"			"* Es un hecho bastante&  extraño, diría yo."
"cutscene.serval.mountain.3"			"* Y este último, como&  lo he dicho&  anteriormente..."
"cutscene.serval.mountain.4"			"* ...muy bien podría&  haber sido cómo estás&  hecho?"
"cutscene.serval.mountain.5"			"{space_y -2}* Yo misma soy de los&  últimos ciclos de&  erupción cortos&  recientes." 
"cutscene.serval.mountain.6"			"* Ahora estoy... estoy&  empezando a preocuparme&  el brote de CELLIEN."

"cutscene.savannah.lake.0"			"* El agua se ve tan mágica&  que la idea de no tomar&  un sorbo... no lo puedo tolerar."
"cutscene.savannah.lake.1"			"* ¿Quién está ahí~?{w}&* ¿Y qué estás haciendo~?{w}&* Ow, ahora recuerdo..."
"cutscene.savannah.lake.2"			"* ¿Amenazando la seguridad&  del abrevadero, por lo que&  veo?"
"cutscene.savannah.lake.3"			"* La gente como tú&  experimentan devastación."
"cutscene.savannah.lake.4"			"* ¡Hippo! &* Detente."
"cutscene.savannah.lake.5"			"* Ella es mi amiga, ¿no&  es la idea que tienes?"
"cutscene.savannah.lake.6"			"{space_y -2}* ¡Oow!{w}&* ¿Una compañera tuya, por lo que&  veo?{w}&* Entonces ella debe ser..."
"cutscene.savannah.lake.7"			"* ..."
"cutscene.savannah.lake.8"			"* Lo siento, ¿fui demasiada&  dura con ustedes?"
"cutscene.savannah.lake.9"			"{space_y -2}* Con lo poco que sabías,&  no realmente.&  Honestamente, todavía&  estaba irritando."
"cutscene.savannah.lake.10"			"* Me alegro de obtener eso."
"cutscene.savannah.lake.11"			"{space_y -2}* De todos modos, iba a&  preguntarte por qué le&  pusiste tanto miedo a&  KABAN."
"cutscene.savannah.lake.12"			"* Esas pequeñas criaturas&  me estaban molestando, por lo&  que no estaba moralmente bien."
"cutscene.savannah.lake.13"			"* Aunque ten cuidado con el&  enorme CELLIEN que&  detiene la puerta."
"cutscene.savannah.lake.14"			"* ¡Ustedes dos no son lo&  suficientemente fuertes para&  vencerlo de todos modos!"
"cutscene.savannah.lake.15"			"* Entonces, ¿por qué no&  lo haces tú misma?"
"cutscene.savannah.lake.16"			"* Tengo cosas más&  importantes que hacer..."
"cutscene.savannah.lake.17"			"* ..."
"cutscene.savannah.lake.18"			"* De todos modos,&  ¡también tenemos cosas&  que hacer!"
"cutscene.savannah.lake.19"			"* ¿No crees que tu pequeña&  \"compañera\" necesita&  cubrirse?"
"cutscene.savannah.lake.20"			"* Hippo, por favor."
"cutscene.savannah.lake.21"			"* ¡Parece que también has&  olvidado las reglas del&  Japari Park!"
"cutscene.savannah.lake.22"			"*{voice -1} ............"
"cutscene.savannah.lake.23"			"* ¡E-ella es más capaz&  de lo que piensas!"
"cutscene.savannah.lake.24"			"* Bien entonces.{w}&* ¡Veremos que tiene esta&  compañera!"
"cutscene.savannah.lake.25"			"* Entonces, ¿eres capaz de&  nadar?"
"cutscene.savannah.lake.26"			"* ¿No?"
"cutscene.savannah.lake.27"			"* Bueno, ¿qué hay de correr&  rápido?"
"cutscene.savannah.lake.28"			"* Desgraciada..."
"cutscene.savannah.lake.29"			"* ¿Qué hay de volar?"
"cutscene.savannah.lake.30"			"* Ella no es alguien digna&  de confianza de ninguna&  manera, Serval."
"cutscene.savannah.lake.31"			"* No querrías dejar a un niño&  así solo en un conflicto,&  ¿verdad?"
"cutscene.savannah.lake.32"			"* Y así, ¿por qué no les enseño&  a ustedes dos a correr?"
"cutscene.savannah.lake.33"			"* ¿¡Enseñar!? &* No creo qu--"
"cutscene.savannah.lake.34"			"* La pereza no funcionará en&  una situación como esta, Serval.{w}&* Es importante."
"cutscene.savannah.lake.35"			"* (Aquí vamos otra vez...)"
"cutscene.savannah.lake.36"			"* ¡Bien entonces!&* ¡Prepárate para una&  lección de un minuto!"
"cutscene.savannah.lake.37"			"* Escuché ansiosamente las&  palabras de Hippo y aprendí&  algo nuevo como resultado."
"cutscene.savannah.lake.38"			"* Esta técnica seguramente&  mejorará mis habilidades en&  una pelea."
"cutscene.savannah.lake.39"			"* ¡He dominado la tecnica&  de \"{color `yellow`}CORRER{color `white`}\"!"
"cutscene.savannah.lake.40"			"* Esto...{w} NO salió bien."
"cutscene.savannah.lake.41"			"* Quiero decir, al menos&  Kaban sabe algo valioso ahora."
"cutscene.savannah.lake.42"			"* No tienes que ser parcial&  para ese pequeño consejo,&  ya sabes."
"cutscene.savannah.lake.43"			"* Uh,{w} sólo vámonos."
"cutscene.savannah.lake.44"			"¡Presiona [X] o [SHIFT] para correr!"

"cutscene.savannah.bridge.before_fight.0"	"* ¡¿Qué crees que&  estás haciendo?!"
"cutscene.savannah.bridge.before_fight.1"	"* ¿Podría ser consciente&  de que hay una amenaza&  frente a nosotros?"
"cutscene.savannah.bridge.before_fight.2"	"* Mira, solo escucha a&  Hippo-chan."
"cutscene.savannah.bridge.before_fight.3"	"* Soy consciente de que es&  molesta, pero esto es&  fundamental."
"cutscene.savannah.bridge.before_fight.4"	"* En realidad no está&  equivocada ni nada,&  solo está..."
"cutscene.savannah.bridge.before_fight.5"	"* ¡Ella solo tiene&  experiencia en pelear!"
"cutscene.savannah.bridge.before_fight.6"	"* Pero esto es lo que&  más me preocupa."
"cutscene.savannah.bridge.before_fight.7"	"{space_y -2}* Hasta el día de hoy,&  todavía recuerdo a&  la gente que vivía&  aquí como ayer..."
"cutscene.savannah.bridge.before_fight.8"	"* Pero ahora ellas&  necesitan mi ayuda."
"cutscene.savannah.bridge.before_fight.9"	"* También tengo que dejar&  de ser torpe."
"cutscene.savannah.bridge.before_fight.10"	"* Ya ves, Kaban. &* Es demasiado&  peligroso para ti."
"cutscene.savannah.bridge.before_fight.11"	"* Así que ve a buscar el&  mejor escondite,&  ¿de acuerdo?"
"cutscene.savannah.bridge.before_fight.12"	"* Y déjame el trabajo a mí."

"cutscene.savannah.bridge.before_fight.confirm.0"	"* Sé que me&  entenderías, KABAN."
"cutscene.savannah.bridge.before_fight.confirm.1"	"* ¡Ahora rápido!{w}&* ¡Regresa al lago!"

"cutscene.savannah.bridge.before_fight.decline.0"	"* ¿Ya has olvidado&  los peligros que te&  esperan?"
"cutscene.savannah.bridge.before_fight.decline.1"	"* Estoy siendo bastante&  seria, KABAN, y no&  quiero que mueras."
"cutscene.savannah.bridge.before_fight.decline.2"	"* Por favor..."
"cutscene.savannah.bridge.before_fight.decline.3"	"* .........{w}&* ............"
"cutscene.savannah.bridge.before_fight.decline.4"	"* Ok, KABAN.{w}&* Te dejaré entrar en&  la pelea por una vez."
"cutscene.savannah.bridge.before_fight.decline.5"	"{space_y -2}* Tal vez... ¡uno no&  puede hacerlo pero&  dos pueden hacerlo&  mejor!"

"cutscene.savannah.post_battle.0"	"* Oye, gracias por la&  gran ayuda hace un&  tiempo."
"cutscene.savannah.post_battle.1"	"* Podría haber sido&  imposible sin ti."
"cutscene.savannah.post_battle.2"	"{space_y -2}* Entonces, este es el&  momento en que separamos&  nuestros caminos,&  ¿verdad?"
"cutscene.savannah.post_battle.3"	"* Te voy a extrañar mucho."
"cutscene.savannah.post_battle.4"	"{space_y -2}* Teniendo en cuenta el&  hecho de que hemos&  pasado tanto tiempo&  juntas..."
"cutscene.savannah.post_battle.5"	"* A decir verdad, tengo&  muchas ganas de ir&  contigo, pero no puedo."
"cutscene.savannah.post_battle.6"	"* ¡Pero todo está bien!{w}&* ¡No hay nada de lo que&  deba preocuparme!"
"cutscene.savannah.post_battle.7"	"* Por favor haz me un&  favor, ¿lo harás?"
"cutscene.savannah.post_battle.8"	"* NO pierdas el sombrero&  pase lo que pase."
"cutscene.savannah.post_battle.9"	"* Es un remanente de&  alguien muy importante&  en este mundo."
"cutscene.savannah.post_battle.10"	"{space_y -2}* Incluso si estás en&  problemas, este sombrero&  te salvará de los&  peligros."
"cutscene.savannah.post_battle.11"	"* {color `red`}SOLO EL SOMBRERO{color `white`} te&  protege."
"cutscene.savannah.post_battle.12"	"* ¿Entendido?"
"cutscene.savannah.post_battle.13"	"* Ahora solo tengo que&  irme."
"cutscene.savannah.post_battle.14"	"* Estoy segura de que&  podemos encontrarnos de&  nuevo en algún momento."
"cutscene.savannah.post_battle.15"	"* ¿Eh...?{w}&* ¿El dueño del sombrero?"
"cutscene.savannah.post_battle.16"	"* Es de alguien muy&  importante en este mundo."
"cutscene.savannah.post_battle.17"	"* ¡Bueno, nos vemos luego!"
